FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty11,x1,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",FDELE - GS F322 - CRITI ANAL OF LIT & CINE,FDCDC - MATH F113 - PROBABILITY & STATISTICS,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,HDCDC - CS G518 - INTERNET OF THINGS: DESIGN & DEVELOPMENT,HDELE - BITS G539 - RESEARCH PROJECT II,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDELE - BIO F313 - ANIMAL PHYSIOLOGY,HDELE - MEL G622 - INTRO TO ARTIF NEURAL NET,FDCDC - MATH F266 - STUDY PROJECT
Faculty12,x2,FDCDC - CS F446 - DATA STORAGE TECH & NETW,FDELE - INSTR F366 - LABORATORY PROJECT,FDCDC - CS F213 - OBJECT ORIENTED PROG,FDCDC - CHEM F431 - SUSTAINABLE CHEMISTRY USING RENEWABLES,HDELE - ME F376 - DESIGN PROJECT,FDELE - CHEM F111 - GENERAL CHEMISTRY,FDELE - BIO F417 - BIOMOLECULAR MODELING,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,FDELE - ECON F376 - DESIGN PROJECT,HDCDC - BIO G661 - GENE TOXICOLOGY,HDCDC - ME G515 - COMPUT FLUID DYNAMICS,HDELE - EEE G512 - EMBEDDED SYSTEM DESIGN
Faculty13,x3,FDCDC - PHY F213 - OPTICS,FDCDC - CS F351 - THEORY OF COMPUTATION,HDELE - CS G526 - ADV ALGO & COMPLEXITY,FDELE - CHE F212 - FLUID MECHANICS,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDELE - HSS F349 - ECOCRITICISM,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,HDCDC - CS G623 - ADVANCED OPERAT SYSTEMS,HDCDC - ME F415 - GAS DYNAMICS,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDELE - BITS G561T - DISSERTATION
Faculty14,x3,FDELE - BITS F112 - TECH REPORT WRITING,HDCDC - ME G515 - COMPUT FLUID DYNAMICS,FDELE - BIO F111 - GENERAL BIOLOGY,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - CHEM F491 - SPECIAL PROJECT,HDELE - BITS G553 - REAL TIME SYSTEMS,FDCDC - CHE F213 - CHEM ENGG THERMODYNAMICS,FDCDC - MATH F215 - ALGEBRA I,HDELE - INSTR F266 - STUDY PROJECT,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS
Faculty15,x3,FDELE - BIO F266 - STUDY PROJECT,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,HDELE - MEL G621 - VLSI DESIGN,FDELE - CHE F266 - STUDY PROJECT,FDCDC - PHY F211 - CLASSICAL MECHANICS,HDCDC - CS G527 - CLOUD COMPUTING,FDCDC - MATH F231 - NUMBER THEORY,FDELE - INSTR F376 - DESIGN PROJECT,FDCDC - PHY F213 - OPTICS,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,FDCDC - GS F233 - PUBLIC POLICY
Faculty16,x1,HDCDC - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS,HDELE - ME F491 - SPECIAL PROJECTS,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDELE - HSS F340 - POST COLONIAL LITERATURES,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,FDELE - EEE F211 - ELECTRICAL MACHINES,FDCDC - CS F446 - DATA STORAGE TECH & NETW,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - GS F221 - BUSINESS COMMUNICATION,HDELE - BIO G532 - BIOSTATISTICS AND BIOMODELLING
Faculty17,x2,FDELE - ECON F415 - NEW VENTURE CREATION,FDCDC - MATH F266 - STUDY PROJECT,HDELE - MEL G623 - ADVANCED VLSI DESIGN,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT,FDCDC - HSS F236 - SYMBOLIC LOGIC,FDELE - EEE F214 - ELECTRONIC DEVICES,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,FDELE - BIO F313 - ANIMAL PHYSIOLOGY,FDCDC - GS F326 - CREATIVE THINKING,HDCDC - CS G527 - CLOUD COMPUTING,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,HDELE - ME F211 - MECHANICS OF SOLIDS
Faculty18,x2,FDELE - HSS F363 - DISASTER AND DEVELOPMENT,HDELE - BITS G529 - RESEARCH PROJECT I,FDCDC - ECE F491 - SPECIAL PROJECT,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDELE - BITS F415 - INTRODUCTION TO MEMS,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDCDC - MATH F231 - NUMBER THEORY,FDCDC - PHY F215 - INTRO TO ASTRO & ASTROPH,FDELE - ECON F415 - NEW VENTURE CREATION,HDELE - EEE G626 - HARDWARE SOFTWARE CO-DESIGN,HDCDC - BIO G661 - GENE TOXICOLOGY
Faculty19,x3,HDELE - ME F315 - ADVANCED MANUFACTURING PROCESS,FDELE - CHE F266 - STUDY PROJECT,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT,FDELE - ECE F266 - STUDY PROJECT,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,FDELE - ECON F415 - NEW VENTURE CREATION,HDCDC - ME F316 - MANUFACTURING MANAGEMENT,HDELE - BITS G540 - RESEARCH PRACTICE,FDELE - EEE F366 - LABORATORY PROJECT,FDCDC - ECON F266 - STUDY ORIENTED PROJECT,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT,FDCDC - MATH F215 - ALGEBRA I
Faculty20,x1,HDELE - BITS G561T - DISSERTATION,FDCDC - CS F351 - THEORY OF COMPUTATION,FDCDC - HSS F236 - SYMBOLIC LOGIC,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,HDELE - DE G631 - MATERIALS TECH & TESTING,HDCDC - MEL G611 - I C FABRICATION TECH,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,FDELE - MATH F312 - ORDINARY DIFF EQUATIONS,FDELE - BIO F266 - STUDY PROJECT,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY
Faculty21,x3,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,FDCDC - HSS F236 - SYMBOLIC LOGIC,FDCDC - PHY F211 - CLASSICAL MECHANICS,HDCDC - MEL G611 - I C FABRICATION TECH,HDELE - INSTR F312 - TRANSD & MEASUREMENT SYS,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDELE - CS F429 - NATURAL LANG PROCESS,HDELE - ME F112 - WORKSHOP PRACTICE,FDELE - EEE F366 - LABORATORY PROJECT,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,FDELE - GS F231 - DYN OF SOCIAL CHANGE
Faculty22,x1,FDCDC - IS F341 - SOFTWARE ENGINEERING,FDCDC - GS F242 - CULTURAL STUDIES,HDCDC - CS G623 - ADVANCED OPERAT SYSTEMS,HDELE - ME F376 - DESIGN PROJECT,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDCDC - PHY F491 - SPECIAL PROJECT,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - PHY F211 - CLASSICAL MECHANICS,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP,FDELE - ECON F213 - MATHEMATIC & STAT METHOD,FDELE - PHY F420 - QUANTUM OPTICS
Faculty23,x1,HDCDC - BITS G629T - DISSERTATION,HDELE - BIO G532 - BIOSTATISTICS AND BIOMODELLING,FDCDC - MATH F215 - ALGEBRA I,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDCDC - GS F221 - BUSINESS COMMUNICATION,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDELE - PHY F376 - DESIGN PROJECT,FDCDC - CHE F312 - CHEMICAL ENGG LAB I,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS
Faculty24,x3,FDELE - BITS F415 - INTRODUCTION TO MEMS,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDELE - ECON F315 - FINANCIAL MANAGEMENT,HDCDC - CS G623 - ADVANCED OPERAT SYSTEMS,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDCDC - CHE F414 - TRANSPORT PHENOMENA,FDCDC - GS F242 - CULTURAL STUDIES,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,HDELE - BITS G649 - READING COURSE,FDELE - CS F222 - DISCR STRUC FOR COMP SCI,FDELE - CHEM F110 - CHEMISTRY LABORATORY,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP
Faculty25,x2,HDELE - ME F315 - ADVANCED MANUFACTURING PROCESS,HDCDC - BIO G526 - CANCER BIOLOGY,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - ECON F415 - NEW VENTURE CREATION,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDCDC - IS F341 - SOFTWARE ENGINEERING,FDELE - HSS F340 - POST COLONIAL LITERATURES,FDCDC - CS F266 - STUDY PROJECT,FDCDC - PHY F213 - OPTICS,FDELE - EEE F266 - STUDY PROJECT,FDELE - ECON F376 - DESIGN PROJECT,FDCDC - EEE F311 - COMMUNICATION SYSTEMS
Faculty26,x3,HDELE - BITS G619 - PROFESSIONAL PRACTICE,HDELE - DE G631 - MATERIALS TECH & TESTING,FDELE - HSS F349 - ECOCRITICISM,FDCDC - GS F242 - CULTURAL STUDIES,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,FDELE - ECON F376 - DESIGN PROJECT,FDCDC - CS F446 - DATA STORAGE TECH & NETW,FDELE - CHE F212 - FLUID MECHANICS,FDELE - CHEM F110 - CHEMISTRY LABORATORY,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDCDC - BIO G523 - ADV & APPLIED MICROBIO
Faculty27,x3,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,HDCDC - INSTR F311 - ELECTRO INST & INST TECH,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,HDELE - BITS G562T - DISSERTATION,FDELE - EEE F214 - ELECTRONIC DEVICES,FDELE - CHEM F111 - GENERAL CHEMISTRY,FDELE - EEE F491 - SPECIAL PROJECT,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - BITS F464 - MACHINE LEARNING,FDCDC - HSS F317 - INTRODUCTION TO GLOBALIZATION
Faculty28,x2,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - PHY F211 - CLASSICAL MECHANICS,FDELE - ECON F213 - MATHEMATIC & STAT METHOD,FDCDC - CHE F213 - CHEM ENGG THERMODYNAMICS,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,FDCDC - HSS F332 - CINEMATIC ART,HDELE - ME F212 - FLUID MECHANICS,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,HDCDC - INSTR F311 - ELECTRO INST & INST TECH,FDCDC - HSS F227 - CROSS CULTURAL SKILLS,FDELE - BITS F415 - INTRODUCTION TO MEMS
Faculty29,x1,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDELE - ME F315 - ADVANCED MANUFACTURING PROCESS,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,FDCDC - ECON F211 - PRINCIPLES OF ECONOMICS,HDCDC - SAN G512 - SANITATION AND PUBLIC HEALTH,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,FDCDC - CS F446 - DATA STORAGE TECH & NETW,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,FDELE - ECON F415 - NEW VENTURE CREATION,FDELE - EEE F491 - SPECIAL PROJECT
Faculty30,x1,FDELE - ECON F376 - DESIGN PROJECT,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDCDC - CHE F213 - CHEM ENGG THERMODYNAMICS,HDELE - MEL G622 - INTRO TO ARTIF NEURAL NET,FDELE - BIO F111 - GENERAL BIOLOGY,FDELE - EEE F266 - STUDY PROJECT,FDCDC - ECON F211 - PRINCIPLES OF ECONOMICS,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS,FDELE - CHE F491 - SPECIAL PROJECTS,HDCDC - BIO G526 - CANCER BIOLOGY
Faculty31,x2,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - ECE F491 - SPECIAL PROJECT,FDELE - EEE F418 - MOD COMMUNICATION TECH,FDELE - BIO F266 - STUDY PROJECT,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDCDC - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS,FDELE - CS F215 - DIGITAL DESIGN,HDCDC - ME F316 - MANUFACTURING MANAGEMENT,FDCDC - HSS F235 - INTRODUCTORY PHILOSOPHY,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - MATH F491 - SPECIAL PROJECT
Faculty32,x2,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDCDC - CS F266 - STUDY PROJECT,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,HDCDC - CS G527 - CLOUD COMPUTING,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDELE - INSTR F366 - LABORATORY PROJECT,FDELE - CHEM F376 - DESIGN PROJECT,HDCDC - CS G518 - INTERNET OF THINGS: DESIGN & DEVELOPMENT,FDELE - BITS F415 - INTRODUCTION TO MEMS,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - BIO F214 - INTEGRATED BIOLOGY
Faculty33,x3,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - EEE F214 - ELECTRONIC DEVICES,FDELE - MATH F313 - NUMERICAL ANALYSIS,FDELE - MATH F491 - SPECIAL PROJECT,FDELE - CHEM F311 - ORGANIC CHEMISTRY III,FDCDC - CS F213 - OBJECT ORIENTED PROG,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDCDC - ECON F211 - PRINCIPLES OF ECONOMICS,HDELE - CHE G613 - ADVANCED MASS TRANSFER
Faculty34,x3,FDELE - INSTR F366 - LABORATORY PROJECT,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES,HDELE - MEL G623 - ADVANCED VLSI DESIGN,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,HDELE - BITS G553 - REAL TIME SYSTEMS,FDELE - ECE F266 - STUDY PROJECT,HDCDC - CS G541 - PERVASIVE COMPUTING,FDCDC - MATH F113 - PROBABILITY & STATISTICS,FDELE - EEE F366 - LABORATORY PROJECT,FDELE - CHEM F111 - GENERAL CHEMISTRY,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO
Faculty35,x3,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDELE - BITS F415 - INTRODUCTION TO MEMS,FDCDC - MATH F113 - PROBABILITY & STATISTICS,FDCDC - CS F491 - SPECIAL PROJECT,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,HDELE - BITS G553 - REAL TIME SYSTEMS,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDELE - BIO F417 - BIOMOLECULAR MODELING,FDELE - CHEM F111 - GENERAL CHEMISTRY,HDELE - BITS G562T - DISSERTATION,HDCDC - BITS G563T - DISSERTATION
Faculty36,x3,FDELE - CHE F491 - SPECIAL PROJECTS,HDELE - BITS G529 - RESEARCH PROJECT I,FDCDC - HSS F332 - CINEMATIC ART,FDCDC - HSS F227 - CROSS CULTURAL SKILLS,FDELE - CHE F266 - STUDY PROJECT,FDELE - CS F222 - DISCR STRUC FOR COMP SCI,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,HDELE - ME F212 - FLUID MECHANICS,HDCDC - ME F415 - GAS DYNAMICS,FDELE - CHEM F491 - SPECIAL PROJECT,HDCDC - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS
Faculty37,x3,FDELE - INSTR F366 - LABORATORY PROJECT,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,FDCDC - CS F491 - SPECIAL PROJECT,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP,FDELE - EEE F214 - ELECTRONIC DEVICES,HDCDC - BIO G661 - GENE TOXICOLOGY,FDELE - CS F429 - NATURAL LANG PROCESS,FDCDC - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS,FDELE - CHEM F111 - GENERAL CHEMISTRY,HDCDC - INSTR F311 - ELECTRO INST & INST TECH,HDELE - ME F443 - QUALI CONTRO ASSUR & REL
Faculty38,x2,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDCDC - CS F351 - THEORY OF COMPUTATION,FDELE - EEE F266 - STUDY PROJECT,HDELE - CS G526 - ADV ALGO & COMPLEXITY,HDELE - CHEM G521 - ENVIRONMENTAL CHEMISTRY,FDCDC - HSS F232 - INTRO TO DEV STUDIES,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE
Faculty39,x3,FDCDC - PHY F311 - QUANTUM MECHANICS II,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,FDELE - BIO F266 - STUDY PROJECT,HDELE - INSTR F266 - STUDY PROJECT,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDELE - MATH F313 - NUMERICAL ANALYSIS,FDCDC - CS F266 - STUDY PROJECT,HDELE - BITS G529 - RESEARCH PROJECT I,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDELE - ECON F213 - MATHEMATIC & STAT METHOD,FDCDC - GS F233 - PUBLIC POLICY
Faculty40,x3,FDELE - ECE F266 - STUDY PROJECT,FDELE - CHEM F110 - CHEMISTRY LABORATORY,"FDCDC - BIO F216 - WATER,SANITATION & SOLID WASTE",HDCDC - CHE G523 - MATH METHODS IN CHEM ENG,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,FDELE - CHE F266 - STUDY PROJECT,HDELE - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - CHEM F431 - SUSTAINABLE CHEMISTRY USING RENEWABLES,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS
